studentId,louvainCommunity,spectralCommunity,pageRank,betweenness,shannonEntropy
S0031,2,1,0.018778739056130818,0.005871457529620795,3.1699250014423126
S0032,1,2,0.025571653485437225,0.0,3.521640636343318
S0033,1,2,0.016680578532752607,0.018621769387075514,2.807354922057605
S0034,2,1,0.020113761247731524,0.0020431783824640965,3.277613436819116
S0035,0,0,0.01433418973878792,0.011428669591934898,2.251629167387823
S0036,0,0,0.01943475169336051,0.00841739515208903,3.1699250014423126
S0037,2,1,0.0192346629090681,0.0001417233560090703,3.1699250014423126
S0038,2,1,0.01802150916846063,0.1285619732686059,3.321928094887362
S0039,1,2,0.02263160775718528,0.0,3.392747410448785
S0040,1,2,0.021091256066965252,0.0,3.121928094887363
S0041,0,0,0.022594769966104378,0.001963236593338634,3.235926350629033
S0042,1,2,0.014861906873651241,0.11225988321013831,2.807354922057605
S0043,0,0,0.02208443288181875,0.002442258469044183,3.2516291673878235
S0044,2,1,0.017437321215867926,0.020990333362782346,3.1699250014423126
S0045,0,0,0.019401875016254972,0.009609748480921948,2.9477027792200907
S0046,1,2,0.014810250085418334,0.11594331358361967,2.807354922057605
S0047,2,1,0.018201355814236604,0.0024697288727900967,3.1699250014423126
S0048,0,0,0.023096120127473613,0.0,3.3927474104487847
S0049,2,1,0.013771111097876666,0.023288417931275077,2.807354922057605
S0050,0,0,0.022683937429222544,0.0021021224146224146,3.321928094887362
S0001,1,2,0.020205321664644414,0.003751957132059173,3.1699250014423126
S0002,2,1,0.016153109084848984,0.009580456391680882,3.0
S0003,0,0,0.023759193032155086,0.0,3.4594316186372978
S0004,1,2,0.022256302218379674,0.0,3.521640636343318
S0005,1,2,0.021386893334063784,0.0,3.1699250014423126
S0006,1,1,0.018785589780578878,0.014137733015284034,3.321928094887362
S0007,2,1,0.01581965570626466,0.046829833054322846,3.1699250014423126
S0008,2,1,0.016160097675451866,0.009353014710157566,3.095795255000934
S0009,1,0,0.02827348552725387,0.0,3.664497779200461
S0010,1,2,0.02250041651093721,0.0010574742717599861,3.41829583405449
S0011,0,0,0.021368779253501995,0.006347043687604912,3.121928094887363
S0012,1,2,0.023232780184708483,0.0042054718712881975,3.277613436819116
S0013,2,1,0.013790317253127713,0.19115443324627002,2.75
S0014,2,0,0.025229521724318894,0.0,3.640223928941852
S0015,1,2,0.01944134718653265,0.007744822732067629,3.121928094887363
S0016,1,0,0.028326301854623228,0.0,3.8073549220576037
S0017,2,2,0.02345130732043093,0.0,3.41829583405449
S0018,0,0,0.020397376288610554,0.00263577833730895,3.121928094887363
S0019,0,0,0.01951735695607506,0.013088621506988854,3.1699250014423126
S0020,2,1,0.02541623035269073,0.0,3.664497779200461
S0021,1,2,0.011421831705437452,0.04613401762636456,2.251629167387823
S0022,1,2,0.024667449560519562,0.0,3.584962500721157
S0023,0,0,0.02420637605000397,0.0021021224146224146,3.41829583405449
S0024,1,2,0.018131739530245595,0.04450687256809706,2.9219280948873627
S0025,1,2,0.022855157413542698,0.0,3.277613436819116
S0026,0,0,0.016423277248297397,0.013547556468474836,2.7254805569978684
S0027,0,0,0.0124905725667894,0.168595437536764,2.584962500721156
S0028,0,0,0.02525627880879309,0.00010629251700680272,3.5465935642949393
S0029,1,2,0.01830049556700431,0.008239891722034579,2.9477027792200907
S0030,0,0,0.01593964847636277,0.09087232566186648,2.584962500721156
