studentId,louvainCommunity,spectralCommunity,pageRank,betweenness,shannonEntropy
S0001,0,3,0.011864142559215364,0.0002763605442176871,2.0
S0002,1,0,0.01914513905652221,0.02855678913214699,2.807354922057605
S0003,1,0,0.021009412295307544,0.0024064815241612047,2.521640636343319
S0004,3,3,0.016804740502173694,0.006998129072774146,2.5032583347756456
S0005,2,1,0.02582340550140085,0.0036097226589048314,3.321928094887362
S0006,0,3,0.026710096980429015,0.014032424244171986,3.321928094887362
S0007,2,1,0.02603663132052698,0.02405180950724168,3.277613436819116
S0008,0,2,0.016723323980777128,0.01592789709817771,2.521640636343319
S0009,0,1,0.023634214194441262,0.006013211561680948,3.277613436819116
S0010,3,3,0.019712059706422137,0.0326791134342008,2.75
S0011,1,0,0.027776975158315894,0.003076662212504049,3.1699250014423126
S0012,1,0,0.029759064544316878,0.0046248842804965246,3.4594316186372978
S0013,3,3,0.02010911310707513,0.00970386260564832,3.0
S0014,1,0,0.011181117081512527,0.028955609535966677,1.584962500721156
S0015,0,2,0.0218665456162922,0.002751825838560532,2.9477027792200907
S0016,2,1,0.011896148073843085,0.025446834126868642,2.3219280948873626
S0017,1,2,0.020902087096638496,0.0044789429674633756,2.807354922057605
S0018,0,3,0.03245008577847709,0.01064657598996878,3.5465935642949393
S0019,1,0,0.02542910879719257,0.00456703514739229,3.0
S0020,1,0,0.023232949561760793,0.003039576636515412,3.0
S0021,2,1,0.024011929577433384,0.00768140589569161,3.2516291673878226
S0022,0,3,0.025817587284750643,0.010018646673621165,3.277613436819116
S0023,1,0,0.035608751316264384,0.016791228247658645,3.664497779200461
S0024,1,0,0.026768873795220405,0.008379983938019652,3.1699250014423126
S0025,0,2,0.022347934087180738,0.013354456556737466,3.1699250014423126
S0026,2,1,0.015726575602527063,0.0502540674935584,2.584962500721156
S0027,0,2,0.019260777526250886,0.03445369302399614,2.75
S0028,2,1,0.009301264756526165,0.004583094060134876,2.0
S0029,3,3,0.017366256877679658,0.010207497882880535,2.584962500721156
S0030,1,0,0.012342797296418809,0.008144761517238225,1.584962500721156
S0031,2,2,0.01641452551424581,0.037224181528098754,2.3219280948873626
S0032,1,0,0.031872384607486946,0.004796946251027883,3.41829583405449
S0033,0,3,0.028546798941547394,0.009977082394174231,3.4594316186372978
S0034,2,1,0.019404930964999328,0.024134888114202665,2.807354922057605
S0035,0,2,0.016774848182636037,0.0029217788305798504,2.807354922057605
S0036,2,2,0.024471653623252775,0.0014560572258651488,3.321928094887362
S0037,0,2,0.017146142012209716,0.026030922918400732,2.521640636343318
S0038,3,3,0.013312191086238727,0.04246592527842528,2.584962500721156
S0039,1,0,0.014710667625112696,0.05520681805077356,2.251629167387823
S0040,1,0,0.02033686321673829,0.008504966898297056,2.584962500721156
S0041,1,2,0.02550258071376541,0.0035510248679891535,3.1699250014423126
S0042,0,3,0.01763874985053082,0.019798364774575365,2.75
S0043,1,0,0.02037618178777118,0.014685388946343327,2.521640636343319
S0044,1,0,0.01706884651129863,0.002125250156527885,2.3219280948873626
S0045,1,0,0.016685037586207117,0.002380676296492623,2.3219280948873626
S0046,2,1,0.016220613677297647,0.028848691803561255,2.807354922057605
S0047,0,1,0.01861056464510378,0.009655618199660815,2.807354922057605
S0048,2,1,0.008828854089000606,0.02146197764820214,1.584962500721156
S0049,0,2,0.006329647795621528,0.009957055062284653,0.9182958340544894
S0050,0,2,0.009128808536042324,0.002008759853147608,1.584962500721156
