studentId,louvainCommunity,spectralCommunity,pageRank,betweenness,shannonEntropy
S0001,3,3,0.011606784982892799,0.0005797773654916512,2.0
S0002,1,2,0.020897838407015836,0.02790160804207967,3.0
S0003,1,1,0.019490059762081964,0.007041194734941587,2.521640636343319
S0004,2,0,0.019725111663502378,0.007218199016743497,2.7219280948873625
S0005,3,1,0.021371123122735352,0.01555701907034882,2.9477027792200907
S0006,3,1,0.01782265215968167,0.01928506651159562,2.584962500721156
S0007,0,2,0.021698555475317027,0.02008857915134149,2.9477027792200907
S0008,1,2,0.02806717310115424,0.002045540438397581,3.4594316186372978
S0009,0,2,0.020322177582182025,0.018999454530605916,2.807354922057605
S0010,2,1,0.010173748245077895,0.021509218489426697,1.584962500721156
S0011,3,1,0.034250498390211735,0.000506233089048824,3.700439718141093
S0012,0,2,0.01816537575680194,0.017089215203218863,2.807354922057605
S0013,0,1,0.015568461787405315,0.020994363366558563,2.3219280948873626
S0014,1,2,0.018930768400289063,0.011448057329483181,2.807354922057605
S0015,3,3,0.023155661318729166,0.000467687074829932,3.321928094887362
S0016,3,1,0.019616406902410823,0.03642847673659006,2.7254805569978684
S0017,2,0,0.017470132367563777,0.02343795423124049,2.584962500721156
S0018,1,2,0.030580115824546283,0.00840937881939065,3.4594316186372978
S0019,0,2,0.013671486209969145,0.020228102580416966,2.251629167387823
S0020,0,1,0.014107460147937984,0.012177456182353443,2.3219280948873626
S0021,3,1,0.017354410345767932,0.020964829288736355,3.0
S0022,3,1,0.015602125727260616,0.023668827492800037,2.3219280948873626
S0023,1,2,0.028400232951536295,0.011203302353682562,3.2516291673878235
S0024,2,0,0.0289576764985375,0.0023952678714583473,3.277613436819116
S0025,2,0,0.021391516809049205,0.007205191310002588,3.095795255000934
S0026,1,2,0.031245489989280555,0.0028220493811824754,3.700439718141093
S0027,2,1,0.0284538292073585,0.011249136242923502,3.4594316186372978
S0028,0,2,0.020308144149096263,0.016888939676508424,3.121928094887362
S0029,1,1,0.01968559518148124,0.039871868533777215,2.75
S0030,1,2,0.01484241031207866,0.015234744845258405,2.3219280948873626
S0031,0,2,0.02862620708386683,0.002967152963991786,3.41829583405449
S0032,3,1,0.014729233068280542,0.03331755387861703,2.3219280948873626
S0033,3,1,0.025898079080519894,0.009405094068798261,3.277613436819116
S0034,2,0,0.018773419251729918,0.03138796529301102,2.75
S0035,2,0,0.027341206764962225,0.004198222097881963,3.5465935642949393
S0036,1,2,0.02141839526756958,0.007087713477608145,3.0
S0037,3,1,0.0222921394702816,0.017866756833960423,2.9219280948873627
S0038,2,1,0.021234211166393596,0.019292763479463404,2.807354922057605
S0039,1,2,0.020751296256334865,0.006078284904815517,2.807354922057605
S0040,1,2,0.017260418851172785,0.015604020433290847,2.3219280948873626
S0041,2,0,0.018215511446686938,0.005171459730380071,2.807354922057605
S0042,3,3,0.008698493027761583,0.0026058757270112707,1.5
S0043,0,2,0.017613871799790907,0.009112663561862596,2.584962500721156
S0044,1,2,0.016840604617375698,0.010944232293345221,2.584962500721156
S0045,1,2,0.019351231454302686,0.004613166028982355,2.807354922057605
S0046,0,1,0.014258662068626547,0.03208248247159722,2.521640636343318
S0047,3,3,0.012168870444996866,0.02368021688432054,2.3219280948873626
S0048,2,1,0.02618618882204109,0.004928324539695771,3.41829583405449
S0049,2,0,0.011349605140418962,0.007102548580584393,2.0
S0050,2,0,0.014059332137933598,0.016219048206576794,2.251629167387823
